//X,Y,Z,Nx,Ny,Nz
-93.08021545,139.97184753,-52.21982956,-0.710544,-0.500875,0.494219
-92.86767578,148.21363831,-62.29363251,0.523053,0.814845,-0.249886
-93.00789642,133.43688965,-70.29901123,0.847307,-0.527991,0.057421
-92.89138031,146.34495544,-50.73950195,-0.855597,0.428566,0.290319
-92.68915558,135.35144043,-66.38861847,0.669148,-0.721210,0.179154
-92.55732727,149.47631836,-56.63731384,-0.446465,0.894270,0.030837
-92.47754669,135.19624329,-67.32649994,0.628687,-0.709495,0.318384
-92.78708649,141.80871582,-69.61427307,0.538758,0.230014,-0.810453
-92.79418182,147.49937439,-52.49481583,-0.816760,0.496954,0.293156
-92.60090637,146.12100220,-49.78276443,-0.836494,0.353116,0.419031
-92.59777832,138.30493164,-54.05748367,-0.419535,-0.887310,0.191495
-92.81658173,144.22561646,-68.31501007,0.647827,0.686794,-0.329596
-92.43663025,135.75463867,-64.70676422,0.812488,-0.579129,-0.066877
-92.28482819,136.29814148,-61.91061401,0.682943,-0.695446,0.223480
-92.03679657,136.96655273,-59.96011734,0.670970,-0.722700,0.165841
-92.32974243,135.95582581,-71.09413147,0.817863,0.043488,-0.573767
-92.24345398,138.31956482,-53.35046387,-0.422414,-0.858653,0.290314
-92.16722107,144.62313843,-66.23196411,0.676957,0.620681,-0.395581
-92.19004059,135.81684875,-66.37809753,0.661842,-0.720741,0.206148
-92.42108917,141.90017700,-49.42957687,-0.771093,-0.387981,0.504863
-92.31828308,142.00769043,-69.09343719,0.799337,0.187273,-0.570955
-92.40945435,147.66218567,-62.85223389,0.587385,0.696589,-0.411997
-92.22787476,136.28785706,-62.07927322,0.692899,-0.677115,0.247802
-92.29885864,142.22549438,-48.98984909,-0.797924,-0.340597,0.497303
-92.08688354,149.67918396,-56.07091522,-0.374113,0.926810,0.032588
-92.21980286,146.13769531,-49.08244324,-0.829431,0.390228,0.399707
-92.18464661,142.47151184,-68.70471954,0.831009,0.188523,-0.523339
-92.01436615,142.77801514,-68.31758881,0.803493,0.254309,-0.538262
-91.94327545,144.99278259,-65.46234131,0.607110,0.583434,-0.539465
-91.91342926,147.75929260,-50.31866074,-0.793706,0.468496,0.387998
-91.81250000,147.85971069,-61.14328766,0.577758,0.725062,-0.374806
-91.85970306,143.10935974,-67.90621185,0.803122,0.343283,-0.486983
-91.74391937,137.83212280,-55.72637177,-0.115157,-0.970607,0.211332
-91.66271973,137.31129456,-60.77164459,0.793335,-0.601890,0.091371
-91.79141235,147.46203613,-61.95393372,0.679465,0.682648,-0.268922
-91.69121552,137.35176086,-59.10697556,0.474401,-0.878674,0.053628
-91.68061066,142.00228882,-68.19349670,0.772386,0.198087,-0.603474
-91.77603149,139.52276611,-69.30072784,0.802106,0.316077,-0.506677
-91.66590881,139.34367371,-50.81891251,-0.663050,-0.596244,0.452611
-91.65323639,144.52510071,-47.05292130,-0.887066,-0.011969,0.461487
-91.50202942,145.63059998,-47.02207947,-0.855125,0.270764,0.442095
-91.54402924,136.53399658,-65.95904541,0.681782,-0.688109,0.248352
-91.51949310,143.59625244,-66.82040405,0.751094,0.549065,-0.366586
-91.61896515,136.98597717,-64.03293610,0.844128,-0.535932,0.015001
-91.35168457,149.68261719,-52.14292526,-0.723718,0.651815,0.226650
-91.42085266,137.83900452,-55.49345398,-0.105685,-0.976034,0.190233
-91.50644684,137.14605713,-63.61345291,0.860120,-0.508938,-0.034295
-91.37651825,146.03044128,-63.54294586,0.624743,0.591064,-0.510235
-91.49916077,139.56796265,-68.80626678,0.805047,0.328688,-0.493826
-91.49609375,137.04147339,-64.60987854,0.807867,-0.568941,0.153808
-91.30162811,139.12077332,-50.62919617,-0.596711,-0.666912,0.446279
-91.26658630,149.64976501,-56.84650040,0.216478,0.926752,-0.307031
-91.19912720,137.52973938,-58.29090500,0.309479,-0.950808,0.013672
-91.38493347,136.39021301,-66.81724548,0.686174,-0.698565,0.202909
-91.41130066,136.61863708,-68.89323425,0.946065,-0.256026,-0.198523
-91.25576782,145.20103455,-64.49892426,0.596024,0.649751,-0.471783
-91.30999756,149.75813293,-52.23963165,-0.700052,0.684529,0.203341
-91.29788971,137.49246216,-63.90512466,0.856712,-0.515651,0.012181
-91.22099304,149.96591187,-55.14216614,-0.274707,0.960852,-0.036047
-91.36885071,137.58361816,-69.44129181,0.948351,-0.026448,-0.316117
-91.19096375,142.16754150,-47.04823685,-0.799110,-0.363523,0.478826
-91.16447449,142.29724121,-67.35809326,0.793433,0.316419,-0.519945
-91.02735901,138.39149475,-51.79505157,-0.331042,-0.898117,0.289476
-90.92205048,138.08883667,-62.93283463,0.878333,-0.477501,-0.022866
-90.87799072,147.75762939,-48.04632568,-0.790540,0.508319,0.341552
-90.69762421,147.69696045,-47.54811096,-0.773077,0.530986,0.346997
-90.72877502,143.14669800,-65.91956329,0.810368,0.372418,-0.452336
-90.55999756,150.07482910,-50.68781281,-0.641653,0.740607,0.199454
-90.54701996,149.76123047,-56.01062012,0.289782,0.875414,-0.386881
-90.78674316,143.16445923,-45.72667694,-0.818123,-0.266474,0.509574
-90.77283478,138.41403198,-63.44372559,0.912758,-0.403123,-0.066064
-90.67109680,141.93234253,-46.40904236,-0.769152,-0.382137,0.512226
-90.75006866,144.27929688,-45.34778595,-0.868743,-0.036939,0.493884
-90.58299255,142.33641052,-66.23633575,0.899897,0.309849,-0.306884
-90.53954315,146.84378052,-46.19813919,-0.802517,0.400455,0.442269
-90.15489197,146.95526123,-60.22224045,0.584653,0.638569,-0.500409
-90.43399811,138.98333740,-61.90022278,0.912078,-0.409850,-0.011710
-90.39693451,146.15856934,-61.82892609,0.641056,0.696235,-0.322962
-90.33477020,148.60078430,-48.17672729,-0.784095,0.503946,0.362262
-90.32065582,149.19131470,-56.89597702,0.456639,0.813040,-0.361174
-90.00886536,150.50045776,-52.26326752,-0.300617,0.952589,-0.046932
-90.26847839,139.63441467,-63.28601456,0.897719,-0.415320,-0.147003
-90.13082123,147.58018494,-46.19958878,-0.794250,0.459150,0.397930
-90.16459656,143.11503601,-44.77851486,-0.824117,-0.312380,0.472494
-90.21486664,139.90007019,-65.54591370,0.983257,-0.181400,-0.017331
-89.96162415,144.54527283,-63.44240189,0.789152,0.439138,-0.429415
-89.91108704,138.06355286,-55.97794342,0.438023,-0.894123,-0.093167
-90.10443878,141.17341614,-65.26150513,0.986847,0.122317,-0.105691
-89.95589447,145.78338623,-44.24251175,-0.839064,0.124036,0.529705
-89.88292694,148.96606445,-56.83468628,0.477737,0.785433,-0.393526
-89.82633209,139.70103455,-60.60021210,0.772933,-0.584795,-0.246147
-90.03235626,141.25787354,-64.88615417,0.967854,-0.010821,-0.251281
-90.03187561,142.58528137,-44.96858215,-0.813708,-0.371025,0.447460
-89.73380280,139.58924866,-47.16292191,-0.678234,-0.622127,0.391098
-89.76191711,140.71510315,-63.40333176,0.907027,-0.379719,-0.181978
-89.65824890,147.77264404,-45.46903610,-0.793649,0.492223,0.357543
-89.29276276,146.10958862,-60.12041855,0.755341,0.512845,-0.407982
-89.27541351,141.07496643,-62.00078201,0.826077,-0.500606,-0.258827
-89.39704895,142.98365784,-43.47548294,-0.816430,-0.306751,0.489229
-89.52098846,144.66529846,-62.37392044,0.822907,0.423345,-0.378949
-89.45803833,147.99461365,-45.33995819,-0.781288,0.517100,0.349566
-89.52656555,140.29609680,-61.03127289,0.752693,-0.593562,-0.284846
-89.55075836,150.62966919,-52.36735916,-0.168087,0.977395,-0.128244
-89.21057129,139.73446655,-46.08510971,-0.656157,-0.616087,0.435769
-89.18119049,139.42320251,-46.48616791,-0.599128,-0.694857,0.397768
-89.21965790,138.25193787,-54.52301025,0.423123,-0.904375,-0.055425
-89.27906036,141.49430847,-62.71296692,0.893788,-0.349485,-0.281075
-89.13889313,138.64730835,-56.31869507,0.631656,-0.738238,-0.236675
-89.33583069,141.54745483,-44.50679016,-0.793492,-0.384675,0.471589
-89.23565674,146.41697693,-43.17242050,-0.860315,0.217706,0.460937
-89.25461578,141.90864563,-44.08031845,-0.784429,-0.396258,0.477127
-89.24912262,140.81028748,-61.38868713,0.769176,-0.572521,-0.283881
-89.12762451,145.35829163,-42.68910217,-0.888557,0.111599,0.444985
-89.15225983,142.57336426,-43.37145996,-0.793706,-0.371899,0.481375
-89.16107178,141.92019653,-62.75016403,0.905172,-0.225929,-0.360028
-89.03186798,146.23306274,-59.44314575,0.798244,0.464170,-0.383864
-89.12528229,145.96754456,-59.99509430,0.797273,0.462257,-0.388167
-88.76039124,140.18623352,-58.63240433,0.695899,-0.633968,-0.337356
-88.81289673,145.50141907,-42.16425705,-0.852010,0.145179,0.502994
-89.04383087,150.60990906,-52.50783539,0.125416,0.954478,-0.270633
-88.68887329,140.13714600,-58.41595459,0.686591,-0.634154,-0.355585
-88.60962677,144.74940491,-60.11102295,0.801250,0.396611,-0.447994
-88.67933655,144.31657410,-60.58190155,0.844198,0.380594,-0.377462
-88.58232880,145.65029907,-59.06473923,0.773707,0.441420,-0.454451
-88.53746033,138.82258606,-55.11657715,0.643203,-0.733532,-0.219592
-88.39953613,139.48110962,-56.49338531,0.722689,-0.636920,-0.268427
-88.49922180,143.54978943,-61.10124207,0.928359,0.293390,-0.228192
-88.54037476,138.67427063,-48.38496780,-0.088480,-0.987433,0.130950
-88.62605286,140.62351990,-59.20240402,0.757629,-0.578232,-0.302731
-88.55943298,141.05955505,-43.62316513,-0.816561,-0.383609,0.431361
-88.33464050,141.58554077,-59.84560394,0.872502,-0.356030,-0.334638
-88.05509949,141.13763428,-58.70978928,0.784717,-0.487010,-0.383460
-88.01050568,138.83132935,-47.15291214,-0.094734,-0.984515,0.147497
-88.11167145,149.45390320,-53.82079697,0.631995,0.564582,-0.530876
-88.13197327,150.93331909,-50.63518906,0.089344,0.985164,-0.146524
-87.89518738,147.76828003,-42.15679932,-0.767329,0.365008,0.527234
-87.95703125,146.21400452,-40.95260620,-0.853637,0.290698,0.432202
-87.81135559,151.06698608,-48.06686020,-0.317470,0.935917,0.152550
-88.04985809,140.19551086,-43.54456329,-0.760878,-0.526260,0.379624
-87.73825836,144.71978760,-40.14699554,-0.815610,0.043518,0.576963
-87.80165863,144.20666504,-40.24731827,-0.842661,-0.084124,0.531832
-87.89724731,143.14872742,-40.93415833,-0.819512,-0.303581,0.486044
-87.49040985,144.98355103,-58.20529175,0.730980,0.469087,-0.495607
-87.58634186,138.99717712,-52.51210785,0.588334,-0.790999,-0.167879
